Id for vurderingen,Vurderingsområde,Ekspertkomité,Artsgruppe,Taksonomisk sti,Vitenskapelig navn id,Vitenskapelig navn,Autor,Populærnavn,Fremmedartsstatus,Etableringsklasse,Risikokategori 2023,Utslagsgivende kriterier 2023,Risikokategori 2018,Skår Invasjonspotensial,Skår Økologisk effekt,Skår A-kriteriet,Skår B-kriteriet,Skår C-kriteriet,Skår D-kriteriet,Skår E-kriteriet,Skår F-kriteriet,Skår G-kriteriet,Skår H-kriteriet,Skår I-kriteriet,Artens levetid i Norge (beste anslag),Ekspansjonshastighet (beste anslag),Geografisk variasjon i risiko,Årsak til geografisk variasjon i risiko,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt,Kjent forekomstareal,Antatt forekomstareal beste anslag,Fremtidig forekomstareal beste anslag,Ant. forekomster fra én introduksjon beste anslag,Ant. ytterligere introduksjoner beste anslag,Naturtyper
519,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103793,Abies alba,Mill.,edelgran,Etablert per år 1800,E,NR,,NR,,,,,,,,,,,,,,,,,,,,0,,,
1866,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,145490,Abies amabilis,(Douglas ex Loudon) J.Forbes,stillehavsedelgran,Selvstendig reproduserende,C2,LO,"2A,1",NK,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,43,Nei,,Nei,Nei,16.0,28.0,84,,,fastmarksskogsmark
590,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103794,Abies balsamea,(L.) Mill.,balsamedelgran,Selvstendig reproduserende,D1,PH,"4A,1",LO,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,441,Nei,,Nei,Nei,40.0,200.0,500,,,fastmarksskogsmark; svak lågurtskog; høgstaudeskog; sterkt endret åpen fastmark med løsmassedekke
1865,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,145491,Abies cephalonica,Loudon,gresk edelgran,Selvstendig reproduserende,C2,LO,"2A,1",LO,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,28,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,12.0,36.0,72,,,bærlyng-kalklågurtskog
641,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103795,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,koloradoedelgran,Selvstendig reproduserende,C2,HI,"4AB,2F",PH,4.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2000.0,563,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,152.0,1140.0,2008,,,fastmarksskogsmark; nakent berg; sterkt endret fastmark med preg av semi-naturlig eng; kalk- og lågurtfuruskog; semi-naturlig eng; sterkt kalkrik eng med mindre hevdpreg; sterkt endret åpen fastmark med løsmassedekke
680,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103796,Abies grandis,(Douglas ex D.Don) Lindl.,kjempeedelgran,Selvstendig reproduserende,C3,PH,"4A,1",LO,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,480,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,60.0,180.0,580,,,fastmarksskogsmark; svak lågurtskog; oppdyrket varig eng
1288,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,128698,Abies koreana,E.H. Wilson,koreaedelgran,Selvstendig reproduserende,C2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,93,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,16.0,32.0,132,,,fastmarksskogsmark
669,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103797,Abies lasiocarpa,(Hook.) Nutt.,fjelledelgran,Selvstendig reproduserende,C3,HI,"4A,2F",LO,4.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2000.0,477,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,152.0,760.0,1768,,,fastmarksskogsmark; semi-naturlig eng; lågurtskog; bærlyng-lågurtskog; blåbærskog; intermediær eng med mindre hevdpreg; sterkt kalkrik eng med mindre hevdpreg; kalkfattig fjell-lynghei; boreal hei
1864,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,145494,Abies magnifica,A.Murray bis,praktedelgran,Dørstokkart,C1,NK,"1,1",NK,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,bærlyng-kalklågurtskog
710,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,127895,Abies mariesii,Mast.,mariesedelgran,Dørstokkart,B2,NK,"1,1",NK,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,
