Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Karplanter,Fastlands-Norge med havområder,145490,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145490,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103794,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,103794,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145491,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,145491,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103795,Selvstendig reproduserende,C2,PH,HI,4.0,2.0,103795,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103796,Selvstendig reproduserende,C3,LO,PH,4.0,1.0,103796,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128698,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,128698,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103797,Selvstendig reproduserende,C3,LO,HI,4.0,2.0,103797,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145494,Dørstokkart,C1,NK,NK,1.0,1.0,145494,Nei,Nei
Karplanter,Fastlands-Norge med havområder,127895,Dørstokkart,B2,NK,NK,1.0,1.0,127895,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103798,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,103798,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103799,Selvstendig reproduserende,C2,LO,PH,4.0,1.0,103799,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145495,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,145495,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103800,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,103800,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145496,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145496,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217333,Dørstokkart,B2,,LO,2.0,1.0,217333,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217334,Dørstokkart,B2,,LO,2.0,1.0,217334,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217335,Dørstokkart,B2,,LO,2.0,1.0,217335,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,128535,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,128535,Ja,Ja
Marine invertebrater,Svalbard med kystsone,128535,Dørstokkart,A,LO,LO,2.0,1.0,128535,Ja,Nei
Karplanter,Fastlands-Norge med havområder,103556,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,103556,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103557,Selvstendig reproduserende,D2,HI,HI,4.0,2.0,103557,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103558,Selvstendig reproduserende,C2,LO,LO,3.0,2.0,103558,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103560,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103560,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170387,Dørstokkart,C1,NK,LO,2.0,1.0,170387,Nei,Nei
Karplanter,Fastlands-Norge med havområder,172665,Dørstokkart,B2,,LO,2.0,1.0,172665,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217341,Dørstokkart,B2,,LO,2.0,1.0,217341,Ja,Nei
Karplanter,Fastlands-Norge med havområder,128836,Dørstokkart,B2,LO,LO,2.0,1.0,128836,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103561,Selvstendig reproduserende,C3,LO,PH,4.0,1.0,103561,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170388,Dørstokkart,C1,NK,LO,2.0,1.0,170388,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216039,Dørstokkart,A,,LO,1.0,3.0,216039,Nei,Ja
Karplanter,Fastlands-Norge med havområder,217344,Dørstokkart,A,,NK,1.0,1.0,217344,Nei,Nei
Karplanter,Svalbard med kystsone,100392,Selvstendig reproduserende,D1,LO,LO,2.0,1.0,100392,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100395,Selvstendig reproduserende,C3,HI,HI,3.0,3.0,100395,Nei,Nei
Fugler,Fastlands-Norge med havområder,184366,Dørstokkart,A,,NK,1.0,1.0,184366,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,11536,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,11536,Ja,Nei
